Mean,StDev
13,12.53821608
13,15.23257087
13,12.23617389
10,11.09700596
4,4.137216749
10,9.585308872
13,13.94005586
4,5.36222939
7,6.683082396
7,6.495098333
7,7.443836305
4,3.498907274
10,10.76489833
13,12.59398326
10,10.48075963
7,7.831090259
13,11.81363435
4,2.669734811
1,1.785677677
13,11.75264492
7,6.14836329
1,1.154149917
13,13.41231078
10,9.511206298
4,4.038568709
1,0.243788954
10,10.7734744
4,4.099772248
7,7.168385842
13,13.56415471
1,0.520407137
4,3.957624168
13,14.75499171
10,9.597427369
1,1.537223148
13,13.09713725
1,1.662551261
4,2.677339162
7,8.498654882
1,-0.079034051
13,13.00715461
4,4.432004181
10,8.293465506
1,2.894971173
7,6.344310626
1,1.292191112
1,-0.263242587
13,13.09744532
7,7.714395124
13,13.64428062
4,2.765649025
10,9.163901761
13,15.06887365
4,5.766139948
1,-0.375037112
1,2.474026213
7,6.417106657
10,11.65782691
1,0.024172326
10,10.20223396
10,10.60076361
13,14.58630845
13,13.8645459
7,7.585110183
7,7.241570868
10,9.961866383
10,8.697484159
1,0.35817908
1,1.966831093
7,6.75229131
1,1.193439749
1,1.284617414
7,7.860627592
4,6.106719267
4,4.751392384
10,10.74828594
4,4.835065141
1,-0.572794619
1,2.696944624
7,8.373461078
7,4.95853002
7,5.771917172
13,13.54701491
7,7.881010678
13,12.50747004
1,1.023037057
10,9.837878194
1,1.930301671
1,2.246321234
1,0.316691719
10,11.07373914
1,2.384819467
7,6.387423145
1,1.200968747
13,12.89805904
1,2.117464356
4,3.365455955
1,2.361045887
10,9.918088343
7,6.280792196
13,12.28379228
7,8.87027388
1,3.088068553
4,1.608784618
1,0.428803275
7,8.164523269
1,0.462394266
10,9.763749502
13,11.84822697
13,11.90198483
1,2.05319581
10,11.58927605
1,1.289243644
7,5.184476447
13,12.76474376
7,7.208611741
10,9.657686553
4,3.524476985
13,11.09414945
1,1.111949312
1,0.838507095
7,5.882851146
7,7.429006953
13,12.09483242
10,10.29188316
13,11.43100687
7,6.721942131
10,9.105371377
10,10.68990434
4,5.460608365
10,9.944515301
4,3.40034577
10,10.15218601
4,4.782648944
10,9.190291943
1,2.295019671
4,4.771982658
1,1.626115647
1,2.047179879
7,7.624177148
7,7.135621399
7,6.654724288
1,-0.042529933
4,3.637121391
1,2.153077875
13,13.57202199
4,3.124121252
4,4.742879984
7,6.347895894
1,-0.091099746
13,13.80122137
4,3.498944874
13,11.26215323
4,3.600392334
13,12.58335788
4,3.300501201
10,9.83105978
10,9.968302554
1,0.547511822
4,3.749916851
13,14.70146508
4,3.698265078
7,7.485155708
10,9.837549757
7,6.202411898
4,2.315043499
7,7.262759044
4,3.566110279
4,6.658019925
7,6.882896605
10,10.23558817
1,1.807297138
13,13.3645391
13,12.97975618
13,15.74393217
4,3.785889869
10,10.797346
4,3.443698821
7,9.078229377
13,11.94562516
4,5.441309166
10,11.03518239
13,13.65743
10,10.1032812
4,4.404753108
4,3.432000397
1,1.344444074
13,13.3205532
10,10.84876807
13,14.48020602
4,3.706599099
4,3.090317521
7,6.954349627
1,1.832382574
7,7.525317415
7,7.211520678
